순,이름,연도,WAR,game,타석,타수,득점,안타,2루타,3루타,홈런,루타,타점,도루,도루실패,볼넷,사구,고의사구,삼진,병살,희생타,희생플라이,타율,출루,장타,OPS,wOBA,wRC+,WAR2,--
,김태훈,22키P, 0.00 , 1 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 ,  ,  ,  ,  ,  ,  , 0.00 , 0.00 
,김민우,22한P, 0.00 , 1 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 ,  ,  ,  ,  ,  ,  , 0.00 , 0.00 
,김진성,22LP, 0.00 , 2 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 ,  ,  ,  ,  ,  ,  , 0.00 , 0.00 
,이상우,22KP, 0.00 , 1 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 ,  ,  ,  ,  ,  ,  , 0.00 , 0.00 
,김재열,22KP, 0.00 , 1 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 ,  ,  ,  ,  ,  ,  , 0.00 , 0.00 
,정우영,22LP, 0.00 , 1 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 ,  ,  ,  ,  ,  ,  , 0.00 , 0.00 
,백승현,22LP, 0.00 , 1 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 ,  ,  ,  ,  ,  ,  , 0.00 , 0.00 
,장원준,22두P, 0.00 , 1 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 ,  ,  ,  ,  ,  ,  , 0.00 , 0.00 
,주권,22KP, 0.00 , 1 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 ,  ,  ,  ,  ,  ,  , 0.00 , 0.00 
,강윤구,22롯P, 0.00 , 1 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 ,  ,  ,  ,  ,  ,  , 0.00 , 0.00 
,류진욱,22NP, 0.00 , 1 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 ,  ,  ,  ,  ,  ,  , 0.00 , 0.00 
,고효준,22SP, 0.00 , 2 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 ,  ,  ,  ,  ,  ,  , 0.00 , 0.00 
,류희운,22KP, 0.00 , 2 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 ,  ,  ,  ,  ,  ,  , 0.00 , 0.00 
,이정현,22KP, 0.00 , 1 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 ,  ,  ,  ,  ,  ,  , 0.00 , 0.00 
229,이재홍,22키3B, -0.01 , 4 , 4 , 4 , 0 , 1 , 0 , 0 , 0 , 1 , 0 , 0 , 0 , 0 , 0 , 0 , 2 , 0 , 0 , 0 , .250 , .250 , .250 , .500 , .236 , 40.7 , -0.01 , -0.06 
230,박주홍,22키LF, -0.01 , 21 , 57 , 49 , 4 , 11 , 1 , 1 , 0 , 14 , 3 , 0 , 0 , 8 , 0 , 1 , 18 , 1 , 0 , 0 , .224 , .333 , .286 , .619 , .294 , 78.7 , -0.01 , -0.22 
231,박정우,22KDH, -0.01 , 2 , 0 , 0 , 1 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 ,  ,  ,  ,  ,  ,  , -0.01 , 0.00 
232,백용환,22한, -0.02 , 4 , 5 , 5 , 1 , 1 , 1 , 0 , 0 , 2 , 0 , 0 , 0 , 0 , 0 , 0 , 1 , 0 , 0 , 0 , .200 , .200 , .400 , .600 , .264 , 58.0 , -0.02 , -0.14 
233,김민성,22L3B, -0.02 , 92 , 157 , 140 , 16 , 29 , 4 , 0 , 3 , 42 , 20 , 0 , 1 , 10 , 3 , 0 , 27 , 4 , 3 , 1 , .207 , .273 , .300 , .573 , .265 , 61.8 , -0.02 , -0.07 
234,노수광,22한LF, -0.02 , 117 , 361 , 315 , 33 , 72 , 18 , 6 , 4 , 114 , 30 , 17 , 6 , 32 , 1 , 1 , 107 , 2 , 10 , 3 , .229 , .299 , .362 , .661 , .296 , 80.3 , -0.02 , -0.45 
235,고우석,22L, -0.02 , 4 , 1 , 1 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , .000 , .000 , .000 , .000 , .000 , -124.0 , -0.02 , -0.05 
236,전경원,22S, -0.02 , 1 , 1 , 1 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , .000 , .000 , .000 , .000 , .000 , -124.0 , -0.02 , -0.00 
237,나지완,22K, -0.02 , 2 , 1 , 1 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , .000 , .000 , .000 , .000 , .000 , -124.0 , -0.02 , 0.00 
238,조형우,22SC, -0.02 , 9 , 13 , 12 , 2 , 2 , 1 , 0 , 0 , 3 , 1 , 0 , 0 , 1 , 0 , 0 , 3 , 0 , 0 , 0 , .167 , .231 , .250 , .481 , .229 , 33.2 , -0.02 , -0.10 
239,강민국,22키SS, -0.03 , 3 , 4 , 3 , 0 , 0 , 0 , 0 , 0 , 0 , 1 , 0 , 0 , 1 , 0 , 0 , 1 , 0 , 0 , 0 , .000 , .250 , .000 , .250 , .179 , 0.8 , -0.03 , 0.24 
240,김세민,22롯2B, -0.03 , 4 , 4 , 1 , 1 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 1 , 0 , 0 , 0 , 0 , 2 , 0 , .000 , .500 , .000 , .500 , .179 , -1.5 , -0.03 , 0.00 
241,김기연,22LC, -0.03 , 12 , 9 , 9 , 0 , 2 , 0 , 0 , 0 , 2 , 1 , 0 , 0 , 0 , 0 , 0 , 3 , 0 , 0 , 0 , .222 , .222 , .222 , .444 , .210 , 19.1 , -0.03 , -0.06 
242,박민,22K, -0.04 , 6 , 2 , 2 , 1 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , .000 , .000 , .000 , .000 , .000 , -124.0 , -0.04 , -0.01 
243,임석진,22K3B, -0.04 , 10 , 17 , 14 , 4 , 1 , 0 , 0 , 1 , 4 , 1 , 0 , 0 , 2 , 1 , 0 , 9 , 1 , 0 , 0 , .071 , .235 , .286 , .521 , .251 , 46.4 , -0.04 , -0.15 
244,최민창,22LLF, -0.04 , 4 , 5 , 5 , 1 , 1 , 0 , 0 , 0 , 1 , 0 , 0 , 0 , 0 , 0 , 0 , 1 , 0 , 0 , 0 , .200 , .200 , .200 , .400 , .189 , 4.9 , -0.04 , -0.15 
245,이천웅,22L, -0.04 , 19 , 23 , 20 , 3 , 4 , 0 , 0 , 0 , 4 , 0 , 0 , 0 , 3 , 0 , 0 , 3 , 0 , 0 , 0 , .200 , .304 , .200 , .504 , .258 , 52.1 , -0.04 , -0.01 
246,이유찬,22두SS, -0.04 , 13 , 31 , 29 , 3 , 7 , 0 , 0 , 1 , 10 , 2 , 1 , 1 , 0 , 0 , 0 , 12 , 0 , 1 , 1 , .241 , .233 , .345 , .578 , .250 , 51.6 , -0.04 , -0.18 
247,권민석,22두3B, -0.04 , 16 , 3 , 3 , 3 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 1 , 0 , 0 , 0 , .000 , .000 , .000 , .000 , .000 , -124.0 , -0.04 , -0.02 
248,박정우,22KCF, -0.04 , 14 , 3 , 3 , 1 , 1 , 0 , 0 , 0 , 1 , 2 , 0 , 0 , 0 , 0 , 0 , 1 , 0 , 0 , 0 , .333 , .333 , .333 , .667 , .314 , 91.8 , -0.04 , 0.11 
249,강로한,22롯DH, -0.04 , 1 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 1 , 0 , 0 , 0 , 0 , 0 , 0 , 0 ,  ,  ,  ,  ,  ,  , -0.04 , -0.08 
250,이명기,22키DH, -0.04 , 2 , 4 , 4 , 0 , 1 , 0 , 0 , 0 , 1 , 0 , 0 , 0 , 0 , 0 , 0 , 2 , 0 , 0 , 0 , .250 , .250 , .250 , .500 , .236 , 40.7 , -0.04 , -0.06 
251,홍현빈,22KRF, -0.04 , 61 , 92 , 76 , 8 , 18 , 2 , 0 , 0 , 20 , 1 , 4 , 0 , 10 , 0 , 0 , 26 , 1 , 6 , 0 , .237 , .326 , .263 , .589 , .271 , 60.2 , -0.04 , -0.77 
252,안익훈,22LRF, -0.05 , 14 , 4 , 3 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 1 , 0 , 0 , 0 , 0 , 0 , 0 , .000 , .250 , .000 , .250 , .179 , -1.6 , -0.05 , -0.03 
253,허관회,22한DH, -0.05 , 15 , 25 , 23 , 3 , 5 , 2 , 0 , 0 , 7 , 1 , 1 , 0 , 1 , 0 , 0 , 7 , 2 , 1 , 0 , .217 , .250 , .304 , .554 , .247 , 46.3 , -0.05 , 0.08 
254,오태양,22N, -0.05 , 15 , 4 , 3 , 5 , 0 , 0 , 0 , 0 , 0 , 0 , 2 , 2 , 0 , 1 , 0 , 1 , 0 , 0 , 0 , .000 , .250 , .000 , .250 , .187 , 5.4 , -0.05 , -0.16 
255,김호은,22L1B, -0.05 , 2 , 2 , 2 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 1 , 0 , 0 , 0 , .000 , .000 , .000 , .000 , .000 , -124.0 , -0.05 , -0.06 
256,이재현,22삼SS, -0.05 , 75 , 239 , 230 , 23 , 54 , 4 , 0 , 7 , 79 , 23 , 0 , 0 , 5 , 1 , 0 , 44 , 6 , 3 , 0 , .235 , .254 , .343 , .598 , .271 , 59.0 , -0.05 , -0.82 
257,김웅빈,22키DH, -0.05 , 45 , 135 , 115 , 17 , 26 , 5 , 1 , 1 , 36 , 11 , 0 , 2 , 13 , 4 , 1 , 38 , 2 , 3 , 0 , .226 , .326 , .313 , .639 , .297 , 81.5 , -0.05 , -0.84 
258,문상인,22K, -0.06 , 12 , 3 , 3 , 2 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 2 , 1 , 0 , 0 , .000 , .000 , .000 , .000 , .000 , -124.0 , -0.06 , -0.01 
259,전민수,22NDH, -0.06 , 20 , 41 , 40 , 3 , 11 , 2 , 0 , 0 , 13 , 2 , 0 , 0 , 1 , 0 , 0 , 14 , 0 , 0 , 0 , .275 , .293 , .325 , .618 , .289 , 76.6 , -0.06 , 0.26 
260,김재호,22두SS, -0.06 , 102 , 264 , 223 , 26 , 48 , 7 , 0 , 1 , 58 , 21 , 0 , 2 , 28 , 2 , 0 , 33 , 5 , 7 , 4 , .215 , .304 , .260 , .564 , .267 , 60.6 , -0.06 , -1.91 
261,이상호,22L2B, -0.06 , 60 , 80 , 72 , 9 , 18 , 2 , 0 , 0 , 20 , 5 , 1 , 2 , 4 , 1 , 0 , 6 , 1 , 3 , 0 , .250 , .299 , .278 , .577 , .267 , 59.5 , -0.06 , -0.24 
262,정범모,22NC, -0.07 , 5 , 7 , 7 , 0 , 1 , 0 , 0 , 0 , 1 , 1 , 0 , 0 , 0 , 0 , 0 , 1 , 0 , 0 , 0 , .143 , .143 , .143 , .286 , .135 , -30.2 , -0.07 , -0.01 
263,신범수,22KC, -0.07 , 2 , 3 , 3 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 1 , 0 , 0 , 0 , .000 , .000 , .000 , .000 , .000 , -124.0 , -0.07 , -0.07 
264,류승현,22K, -0.07 , 3 , 3 , 3 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 1 , 0 , 0 , 0 , .000 , .000 , .000 , .000 , .000 , -124.0 , -0.07 , 0.15 
265,김수환,22키1B, -0.07 , 57 , 168 , 140 , 18 , 25 , 6 , 0 , 4 , 43 , 14 , 0 , 0 , 21 , 3 , 0 , 56 , 0 , 3 , 1 , .179 , .297 , .307 , .604 , .284 , 74.9 , -0.07 , -0.63 
266,김민수,22롯RF, -0.08 , 5 , 7 , 7 , 0 , 1 , 0 , 0 , 0 , 1 , 1 , 0 , 0 , 0 , 0 , 0 , 4 , 0 , 0 , 0 , .143 , .143 , .143 , .286 , .135 , -33.7 , -0.08 , -0.02 
267,이영빈,22L2B, -0.08 , 60 , 83 , 76 , 16 , 14 , 3 , 0 , 1 , 20 , 5 , 0 , 0 , 7 , 0 , 0 , 25 , 3 , 0 , 0 , .184 , .253 , .263 , .516 , .247 , 48.0 , -0.08 , -0.73 
268,김영웅,22삼3B, -0.08 , 12 , 15 , 15 , 2 , 2 , 0 , 0 , 1 , 5 , 1 , 0 , 0 , 0 , 0 , 0 , 7 , 0 , 0 , 0 , .133 , .133 , .333 , .467 , .202 , 8.8 , -0.08 , -0.16 
269,석정우,22S2B, -0.09 , 9 , 9 , 9 , 1 , 2 , 0 , 0 , 0 , 2 , 0 , 0 , 1 , 0 , 0 , 0 , 3 , 0 , 0 , 0 , .222 , .222 , .222 , .444 , .210 , 19.7 , -0.09 , -0.11 
270,조대현,22K, -0.09 , 6 , 4 , 4 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 3 , 0 , 0 , 0 , .000 , .000 , .000 , .000 , .000 , -124.0 , -0.09 , -0.12 
271,정진기,22NCF, -0.09 , 39 , 59 , 53 , 4 , 10 , 2 , 0 , 1 , 15 , 4 , 1 , 0 , 6 , 0 , 0 , 19 , 1 , 0 , 0 , .189 , .271 , .283 , .554 , .265 , 58.2 , -0.09 , -0.59 
272,김수윤,22N1B, -0.09 , 10 , 18 , 17 , 1 , 2 , 1 , 0 , 1 , 6 , 2 , 0 , 0 , 1 , 0 , 0 , 7 , 0 , 0 , 0 , .118 , .167 , .353 , .520 , .229 , 31.3 , -0.09 , -0.01 
273,이시원,22KRF, -0.09 , 31 , 16 , 15 , 6 , 2 , 0 , 0 , 0 , 2 , 1 , 2 , 0 , 0 , 1 , 0 , 4 , 0 , 0 , 0 , .133 , .188 , .133 , .321 , .165 , -11.5 , -0.09 , -0.05 
274,신민재,22LCF, -0.10 , 14 , 3 , 3 , 2 , 0 , 0 , 0 , 0 , 0 , 0 , 2 , 2 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , .000 , .000 , .000 , .000 , .000 , -124.0 , -0.10 , 0.01 
275,예진원,22키LF, -0.10 , 20 , 14 , 10 , 0 , 1 , 0 , 0 , 0 , 1 , 0 , 0 , 0 , 3 , 0 , 0 , 3 , 0 , 1 , 0 , .100 , .308 , .100 , .408 , .221 , 29.3 , -0.10 , -0.20 
276,김재현,22S3B, -0.10 , 18 , 20 , 18 , 2 , 4 , 1 , 0 , 0 , 5 , 4 , 0 , 0 , 0 , 0 , 0 , 3 , 2 , 2 , 0 , .222 , .222 , .278 , .500 , .207 , 18.9 , -0.10 , 0.17 
277,장진혁,22한RF, -0.10 , 41 , 132 , 116 , 11 , 27 , 2 , 0 , 2 , 35 , 17 , 2 , 1 , 12 , 0 , 0 , 28 , 1 , 1 , 3 , .233 , .298 , .302 , .599 , .281 , 68.9 , -0.10 , -0.99 
278,허인서,22한C, -0.11 , 8 , 19 , 18 , 1 , 3 , 0 , 0 , 0 , 3 , 0 , 0 , 0 , 1 , 0 , 0 , 8 , 0 , 0 , 0 , .167 , .211 , .167 , .377 , .187 , 4.3 , -0.11 , -0.20 
279,장두성,22롯CF, -0.12 , 53 , 28 , 23 , 7 , 4 , 0 , 0 , 0 , 4 , 0 , 4 , 1 , 5 , 0 , 0 , 11 , 0 , 0 , 0 , .174 , .321 , .174 , .495 , .263 , 54.4 , -0.12 , -0.32 
280,장승현,22두C, -0.12 , 60 , 109 , 96 , 6 , 20 , 3 , 0 , 0 , 23 , 9 , 0 , 0 , 5 , 4 , 0 , 27 , 2 , 3 , 1 , .208 , .274 , .240 , .513 , .244 , 43.8 , -0.12 , -0.69 
281,오준혁,22SRF, -0.12 , 47 , 67 , 61 , 3 , 14 , 2 , 0 , 0 , 16 , 6 , 0 , 0 , 5 , 0 , 0 , 15 , 4 , 1 , 0 , .230 , .288 , .262 , .550 , .262 , 55.6 , -0.12 , -0.54 
282,유준규,22KDH, -0.12 , 7 , 16 , 14 , 3 , 3 , 0 , 0 , 0 , 3 , 0 , 0 , 0 , 1 , 0 , 0 , 6 , 0 , 1 , 0 , .214 , .267 , .214 , .481 , .222 , 26.3 , -0.12 , -0.17 
283,김규남,22SRF, -0.13 , 2 , 5 , 5 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 2 , 1 , 0 , 0 , .000 , .000 , .000 , .000 , .000 , -124.0 , -0.13 , -0.09 
284,김준완,22키LF, -0.13 , 111 , 398 , 317 , 43 , 60 , 10 , 2 , 1 , 77 , 28 , 1 , 1 , 64 , 8 , 0 , 71 , 4 , 6 , 3 , .189 , .337 , .243 , .580 , .288 , 74.9 , -0.13 , -0.86 
285,양승혁,22K2B, -0.13 , 11 , 5 , 5 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 1 , 1 , 0 , 0 , 0 , 1 , 0 , 0 , 0 , .000 , .000 , .000 , .000 , .000 , -124.0 , -0.13 , -0.03 
286,이정훈,22KDH, -0.13 , 6 , 10 , 8 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 2 , 0 , 0 , 3 , 0 , 0 , 0 , .000 , .200 , .000 , .200 , .144 , -26.1 , -0.13 , -0.22 
287,김재현,22키C, -0.13 , 56 , 88 , 82 , 4 , 17 , 4 , 0 , 1 , 24 , 8 , 0 , 0 , 2 , 1 , 0 , 19 , 3 , 2 , 1 , .207 , .233 , .293 , .525 , .237 , 40.2 , -0.13 , -0.66 
288,박승욱,22롯SS, -0.13 , 100 , 228 , 198 , 29 , 45 , 7 , 2 , 1 , 59 , 16 , 8 , 2 , 16 , 2 , 0 , 69 , 1 , 12 , 0 , .227 , .292 , .298 , .590 , .266 , 55.6 , -0.13 , -0.61 
289,한석현,22LRF, -0.14 , 6 , 10 , 9 , 1 , 2 , 0 , 0 , 0 , 2 , 0 , 0 , 1 , 0 , 0 , 0 , 3 , 0 , 1 , 0 , .222 , .222 , .222 , .444 , .189 , 4.8 , -0.14 , -0.21 
290,최상민,22SLF, -0.14 , 27 , 18 , 14 , 3 , 1 , 0 , 0 , 0 , 1 , 1 , 3 , 1 , 3 , 0 , 0 , 4 , 0 , 1 , 0 , .071 , .235 , .071 , .307 , .172 , -7.0 , -0.14 , 0.27 
291,윤동희,22롯1B, -0.14 , 4 , 13 , 13 , 1 , 2 , 1 , 0 , 0 , 3 , 1 , 0 , 0 , 0 , 0 , 0 , 2 , 1 , 0 , 0 , .154 , .154 , .231 , .385 , .174 , -7.5 , -0.14 , -0.25 
292,공민규,22삼1B, -0.14 , 15 , 22 , 19 , 0 , 3 , 0 , 0 , 0 , 3 , 2 , 0 , 0 , 1 , 1 , 0 , 10 , 0 , 0 , 1 , .158 , .227 , .158 , .385 , .195 , 10.6 , -0.14 , -0.22 
293,추재현,22롯RF, -0.14 , 33 , 66 , 58 , 10 , 13 , 4 , 0 , 0 , 17 , 5 , 1 , 0 , 7 , 1 , 0 , 17 , 1 , 0 , 0 , .224 , .318 , .293 , .611 , .296 , 75.8 , -0.14 , -0.53 
294,이태훈,22삼DH, -0.15 , 10 , 18 , 17 , 2 , 3 , 0 , 0 , 0 , 3 , 0 , 0 , 0 , 1 , 0 , 0 , 6 , 0 , 0 , 0 , .176 , .222 , .176 , .399 , .197 , 11.3 , -0.15 , 0.09 
295,김시앙,22키C, -0.16 , 13 , 14 , 12 , 1 , 1 , 0 , 0 , 0 , 1 , 0 , 0 , 0 , 1 , 0 , 0 , 8 , 1 , 1 , 0 , .083 , .154 , .083 , .237 , .119 , -41.0 , -0.16 , -0.17 
296,이현석,22SC, -0.16 , 9 , 15 , 15 , 0 , 2 , 0 , 0 , 0 , 2 , 1 , 0 , 0 , 0 , 0 , 0 , 5 , 1 , 0 , 0 , .133 , .133 , .133 , .267 , .126 , -37.8 , -0.16 , -0.31 
297,이호연,22롯3B, -0.16 , 88 , 222 , 205 , 20 , 50 , 10 , 1 , 2 , 68 , 16 , 3 , 1 , 11 , 2 , 1 , 38 , 5 , 4 , 0 , .244 , .289 , .332 , .621 , .283 , 67.7 , -0.16 , -1.79 
298,서호철,22N2B, -0.17 , 89 , 214 , 195 , 26 , 40 , 8 , 0 , 2 , 54 , 14 , 3 , 1 , 12 , 4 , 0 , 41 , 6 , 3 , 0 , .205 , .265 , .277 , .542 , .255 , 52.0 , -0.17 , -1.68 
299,최영진,22삼3B, -0.18 , 43 , 91 , 80 , 5 , 15 , 4 , 0 , 2 , 25 , 10 , 2 , 2 , 8 , 2 , 0 , 20 , 2 , 1 , 0 , .188 , .278 , .313 , .590 , .276 , 64.3 , -0.18 , -0.05 
300,이진영,22한RF, -0.18 , 70 , 240 , 220 , 27 , 44 , 12 , 1 , 8 , 82 , 31 , 2 , 2 , 17 , 0 , 0 , 90 , 4 , 0 , 3 , .200 , .254 , .373 , .627 , .283 , 71.1 , -0.18 , -1.90 
301,신성현,22두LF, -0.19 , 17 , 25 , 23 , 3 , 2 , 0 , 0 , 1 , 5 , 2 , 1 , 0 , 2 , 0 , 0 , 5 , 2 , 0 , 0 , .087 , .160 , .217 , .377 , .178 , 4.4 , -0.19 , -0.21 
302,이흥련,22SC, -0.19 , 22 , 55 , 45 , 4 , 6 , 2 , 0 , 0 , 8 , 1 , 0 , 0 , 5 , 2 , 0 , 22 , 2 , 3 , 0 , .133 , .250 , .178 , .428 , .209 , 18.1 , -0.19 , -0.48 
303,크론,22S1B, -0.20 , 67 , 259 , 243 , 21 , 54 , 13 , 1 , 11 , 102 , 35 , 0 , 0 , 9 , 3 , 0 , 68 , 3 , 0 , 4 , .222 , .255 , .420 , .675 , .300 , 78.7 , -0.20 , -0.75 
304,홍성호,22두RF, -0.20 , 12 , 19 , 18 , 3 , 3 , 0 , 0 , 0 , 3 , 0 , 0 , 0 , 1 , 0 , 0 , 7 , 1 , 0 , 0 , .167 , .211 , .167 , .377 , .187 , 3.4 , -0.20 , -0.28 
305,박석민,22N3B, -0.20 , 16 , 58 , 47 , 3 , 7 , 2 , 0 , 0 , 9 , 2 , 0 , 0 , 9 , 1 , 0 , 8 , 3 , 1 , 0 , .149 , .298 , .191 , .490 , .251 , 48.2 , -0.20 , -0.32 
306,한승택,22KC, -0.21 , 65 , 119 , 102 , 11 , 18 , 2 , 0 , 1 , 23 , 11 , 0 , 0 , 9 , 3 , 0 , 30 , 2 , 4 , 1 , .176 , .261 , .225 , .486 , .232 , 34.7 , -0.21 , -0.82 
307,안주형,22삼2B, -0.21 , 18 , 23 , 20 , 2 , 3 , 0 , 0 , 0 , 3 , 2 , 0 , 0 , 1 , 0 , 0 , 6 , 0 , 1 , 1 , .150 , .182 , .150 , .332 , .154 , -18.2 , -0.21 , -0.25 
308,박준태,22키RF, -0.22 , 52 , 84 , 70 , 9 , 11 , 4 , 0 , 1 , 18 , 10 , 0 , 0 , 11 , 2 , 0 , 33 , 0 , 1 , 0 , .157 , .289 , .257 , .546 , .267 , 61.5 , -0.22 , -0.55 
309,김성표,22삼CF, -0.22 , 17 , 18 , 17 , 5 , 2 , 0 , 0 , 0 , 2 , 0 , 2 , 0 , 1 , 0 , 0 , 5 , 0 , 0 , 0 , .118 , .167 , .118 , .284 , .145 , -24.7 , -0.22 , -0.21 
310,천재환,22NCF, -0.23 , 29 , 36 , 35 , 4 , 5 , 1 , 0 , 1 , 9 , 1 , 1 , 0 , 0 , 1 , 0 , 11 , 1 , 0 , 0 , .143 , .167 , .257 , .424 , .194 , 9.2 , -0.23 , -0.80 
311,서예일,22두2B, -0.24 , 35 , 27 , 25 , 2 , 4 , 1 , 0 , 0 , 5 , 2 , 0 , 0 , 1 , 0 , 0 , 6 , 1 , 1 , 0 , .160 , .192 , .200 , .392 , .180 , 0.6 , -0.24 , -0.20 
312,원혁재,22한LF, -0.25 , 11 , 23 , 21 , 2 , 2 , 1 , 0 , 0 , 3 , 0 , 0 , 0 , 2 , 0 , 0 , 12 , 0 , 0 , 0 , .095 , .174 , .143 , .317 , .161 , -13.2 , -0.25 , -0.30 
313,윤정빈,22삼, -0.25 , 13 , 10 , 10 , 1 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 5 , 0 , 0 , 0 , .000 , .000 , .000 , .000 , .000 , -124.0 , -0.25 , -0.11 
314,이해창,22한C, -0.25 , 4 , 11 , 10 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 2 , 1 , 1 , 0 , .000 , .000 , .000 , .000 , .000 , -124.0 , -0.25 , -0.23 
315,루이즈,22L3B, -0.25 , 27 , 94 , 84 , 10 , 13 , 4 , 1 , 1 , 22 , 6 , 1 , 0 , 9 , 0 , 0 , 13 , 5 , 0 , 1 , .155 , .234 , .262 , .496 , .235 , 39.5 , -0.25 , -0.90 
316,김규성,22K2B, -0.25 , 70 , 52 , 50 , 14 , 9 , 0 , 1 , 1 , 14 , 4 , 0 , 0 , 1 , 0 , 0 , 12 , 0 , 1 , 0 , .180 , .196 , .280 , .476 , .213 , 22.3 , -0.25 , -0.58 
317,정훈,22롯1B, -0.25 , 91 , 340 , 294 , 39 , 72 , 8 , 0 , 3 , 89 , 32 , 4 , 1 , 32 , 2 , 0 , 66 , 6 , 6 , 6 , .245 , .317 , .303 , .620 , .290 , 73.4 , -0.25 , -0.68 
318,김태훈,22K1B, -0.26 , 7 , 10 , 10 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 2 , 0 , 0 , 0 , .000 , .000 , .000 , .000 , .000 , -124.0 , -0.26 , -0.27 
319,이성규,22삼DH, -0.26 , 13 , 34 , 27 , 5 , 2 , 0 , 0 , 0 , 2 , 1 , 0 , 0 , 5 , 2 , 0 , 8 , 1 , 0 , 0 , .074 , .265 , .074 , .339 , .205 , 17.8 , -0.26 , -0.14 
320,강진성,22두1B, -0.26 , 40 , 94 , 80 , 7 , 13 , 2 , 0 , 1 , 18 , 8 , 4 , 0 , 11 , 2 , 1 , 20 , 2 , 1 , 0 , .163 , .280 , .225 , .505 , .245 , 46.2 , -0.26 , -0.49 
321,오재원,22두2B, -0.27 , 18 , 31 , 29 , 2 , 5 , 2 , 0 , 0 , 7 , 4 , 1 , 2 , 1 , 0 , 0 , 9 , 1 , 0 , 1 , .172 , .194 , .241 , .435 , .199 , 14.8 , -0.27 , 0.18 
